ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 37;cg.C;;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;27.049999237061;32.563835144043;78.193855285645;1.00;2.43;4.00;1.00;1;0.00;25.00;3.00;3.00;1.23;0.75;3.00
Loop 32;cg.C;;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;1.1150000095367;1.3201966285706;3.1701200008392;1.00;2.43;4.00;1.00;1;0.00;25.00;3.00;3.00;1.23;0.75;3.00
Loop 22;cg.C;;main;Innermost;6.2550010681152;1.268483877182;3.0459449291229;1.50;1.29;7.58;1.50;2;0.00;15.00;1.50;1.00;1.17;0.20;1.00
Loop 21;cg.C;;main;Innermost;1.8350001573563;0.37212917208672;0.89357459545135;1.00;1.00;7.20;1.13;1;0.00;15.63;2.25;2.25;2.25;0.31;2.00
Loop 34;cg.C;;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;0.17500001192093;0.17947372794151;0.43096101284027;1.00;1.58;2.43;1.00;1;78.57;44.64;6.00;6.00;3.79;2.47;6.00
Loop 19;cg.C;;main;InBetween;0.69000005722046;0.13992868363857;0.33600351214409;3.24;1.87;10.26;3.67;18;12.50;20.96;9.17;2.83;4.91;0.89;2.50
Loop 33;cg.C;;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;0.12000000476837;0.11559324711561;0.27756810188293;1.00;1.17;2.00;1.17;1;100.00;50.00;1.17;1.17;1.00;0.58;1.00
Loop 35;cg.C;;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;0.055000003427267;0.051712770015001;0.12417520582676;1.00;1.89;3.00;1.00;1;50.00;37.50;6.00;6.00;3.17;2.00;6.00
Loop 36;cg.C;;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);InBetween;0.050000000745058;0.039545059204102;0.094957508146763;1.42;1.00;5.67;1.42;2;20.00;22.50;1.42;1.00;1.42;0.25;1.00
Loop 52;cg.C;;main._omp_fn.0;Innermost;0.010000000707805;0.011153736151755;0.026782888919115;1.00;1.00;8.00;1.00;1;0.00;12.50;1.00;1.00;1.00;0.13;1.00
Loop 8;cg.C;;main;Innermost;0.050000000745058;0.010139758698642;0.024348078295588;1.00;1.00;2.00;3.00;1;100.00;50.00;3.00;3.00;3.00;1.50;1.00
Loop 40;cg.C;;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Single;0.015000000596046;0.0081118065863848;0.019478462636471;1.00;1.00;2.00;4.00;1;100.00;50.00;4.00;4.00;4.00;2.00;1.00
Loop 10;cg.C;;main;Innermost;0.040000002831221;0.0081118065863848;0.019478462636471;2.04;1.68;6.67;4.15;1;11.62;21.99;110.00;54.00;65.67;16.50;26.50
Loop 17;cg.C;;main;Innermost;0.025000000372529;0.0050698793493211;0.012174039147794;1.00;1.71;13.71;2.00;1;0.00;12.50;2.00;2.00;1.17;0.15;1.00
Loop 20;cg.C;;main;InBetween;0.015000000596046;0.0030419277027249;0.0073044239543378;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 30;cg.C;;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Single;0.0099999997764826;0.0030419277027249;0.0073044239543378;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 28;cg.C;;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Outermost;0.010000000707805;0.0020279516465962;0.0048696156591177;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 38;cg.C;;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Single;0.0050000003539026;0.0010139758232981;0.0024348078295588;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 31;cg.C;;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Outermost;0.0049999998882413;0.0010139758232981;0.0024348078295588;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 45;cg.C;;main._omp_fn.0;Innermost;0.0050000003539026;0.0010139758232981;0.0024348078295588;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 26;cg.C;;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;0.0050000003539026;0.0010139758232981;0.0024348078295588;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
