ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 37;cg.C;;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;111.73499298096;111.73500061035;88.629333496094;1.00;2.43;4.00;1.00;1;0.00;25.00;3.00;3.00;1.23;0.75;3.00
Loop 22;cg.C;;main;Innermost;6.3300004005432;6.3300004005432;5.0210204124451;1.50;1.29;7.58;1.50;2;0.00;15.00;1.50;1.00;1.17;0.20;1.00
Loop 32;cg.C;;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;4.5;4.5000004768372;3.569445848465;1.00;2.43;4.00;1.00;1;0.00;25.00;3.00;3.00;1.23;0.75;3.00
Loop 21;cg.C;;main;Innermost;1.7099999189377;1.7099999189377;1.3563892841339;1.00;1.00;7.20;1.13;1;0.00;15.63;2.25;2.25;2.25;0.31;2.00
Loop 19;cg.C;;main;InBetween;0.62000000476837;0.62000000476837;0.49179029464722;3.24;1.87;10.26;3.67;18;12.50;20.96;9.17;2.83;4.91;0.89;2.50
Loop 34;cg.C;;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;0.30000001192093;0.30000001192093;0.23796305060387;1.00;1.58;2.43;1.00;1;78.57;44.64;6.00;6.00;3.79;2.47;6.00
Loop 36;cg.C;;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);InBetween;0.25499999523163;0.25500002503395;0.20226858556271;1.42;1.00;5.67;1.42;2;20.00;22.50;1.42;1.00;1.42;0.25;1.00
Loop 35;cg.C;;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;0.24000000953674;0.23999999463558;0.19037042558193;1.00;1.89;3.00;1.00;1;50.00;37.50;6.00;6.00;3.17;2.00;6.00
Loop 33;cg.C;;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;0.055000003427267;0.054999999701977;0.043626558035612;1.00;1.17;2.00;1.17;1;100.00;50.00;1.17;1.17;1.00;0.58;1.00
Loop 8;cg.C;;main;Innermost;0.050000000745058;0.050000000745058;0.039660505950451;1.00;1.00;2.00;3.00;1;100.00;50.00;3.00;3.00;3.00;1.50;1.00
Loop 17;cg.C;;main;Innermost;0.035000000149012;0.035000003874302;0.027762355282903;1.00;1.71;13.71;2.00;1;0.00;12.50;2.00;2.00;1.17;0.15;1.00
Loop 10;cg.C;;main;Innermost;0.02000000141561;0.019999999552965;0.015864202752709;2.04;1.68;6.67;4.15;1;11.62;21.99;110.00;54.00;65.67;16.50;26.50
Loop 20;cg.C;;main;InBetween;0.015000000596046;0.014999999664724;0.011898151598871;2.67;2.23;6.86;4.00;3;0.00;22.92;4.00;1.50;1.79;0.58;1.00
