loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;flops_sca;flops_vec;flops_sp;flops_dp;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;
37;cg.C;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);8;;Innermost;65.94450378418;27.090003967285;;;;;;65.94450378418;27.090003967285;;;;;;;;;;;;;;;;
22;cg.C;main;1;;Innermost;15.603700637817;6.4100003242493;;;;;;15.603700637817;6.4100003242493;;;;;;;;;;;;;;;;
21;cg.C;main;1;;Innermost;4.0652379989624;1.6699998378754;;;;;;4.0652379989624;1.6699998378754;;;;;;;;;;;;;;;;
32;cg.C;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);8;;Innermost;2.6290166378021;1.0800001621246;;;;;;2.6290166378021;1.0800001621246;;;;;;;;;;;;;;;;
19;cg.C;main;1;;InBetween;21.518985748291;8.8400001525879;;;;;;1.850048661232;0.75999999046326;;;;;;;;;;;;;;;;
34;cg.C;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);8;;Innermost;0.24342745542526;0.1000000089407;;;;;;0.24342745542526;0.1000000089407;;;;;;;;;;;;;;;;
33;cg.C;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);8;;Innermost;0.231256082654;0.094999998807907;;;;;;0.231256082654;0.094999998807907;;;;;;;;;;;;;;;;
35;cg.C;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);8;;Innermost;0.15822784602642;0.064999997615814;;;;;;0.15822784602642;0.064999997615814;;;;;;;;;;;;;;;;
10;cg.C;main;1;;Innermost;0.10954234749079;0.044999998062849;;;;;;0.10954234749079;0.044999998062849;;;;;;;;;;;;;;;;
17;cg.C;main;1;;Innermost;0.097370982170105;0.03999999910593;;;;;;0.097370982170105;0.03999999910593;;;;;;;;;;;;;;;;
8;cg.C;main;1;;Innermost;0.085199609398842;0.035000000149012;;;;;;0.085199609398842;0.035000000149012;;;;;;;;;;;;;;;;
36;cg.C;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);8;;InBetween;66.017524719238;27.120000839233;;;;;;0.073028236627579;0.030000001192093;;;;;;;;;;;;;;;;
40;cg.C;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);8;;Single;0.024342745542526;0.0099999997764826;;;;;;0.024342745542526;0.0099999997764826;;;;;;;;;;;;;;;;
52;cg.C;main._omp_fn.0;9;;Innermost;0.024342745542526;0.0099999997764826;;;;;;0.024342745542526;0.0099999997764826;;;;;;;;;;;;;;;;
20;cg.C;main;1;;InBetween;21.531156539917;8.8449993133545;;;;;;0.012171372771263;0.0049999998882413;;;;;;;;;;;;;;;;
