loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;flops_sca;flops_vec;flops_sp;flops_dp;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;
36;cg.C;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);10;cg.cpp:599-599;Innermost;79.827903747559;27.365001678467;;;;;;79.827903747559;27.365001678467;;;;;;;;;;;;;;;;
31;cg.C;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);10;cg.cpp:675-675;Innermost;3.1505255699158;1.0800000429153;;;;;;3.1505255699158;1.0800000429153;;;;;;;;;;;;;;;;
35;cg.C;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);10;cg.cpp:595-601;InBetween;82.701293945313;28.35000038147;;;;;;2.8733959197998;0.98499995470047;;;;;;;;;;;;;;;;
61;cg.C;sparse(double*, int*, int*, int, int, int, int*, int (*) [16], double (*) [16], int, int, int*, double, double) [clone ._omp_fn.1];18;cg.cpp:872-882,new_allocator.h:191-191,stl_vector.h:1283-1292;Innermost;0.70011675357819;0.23999999463558;;;;;;0.70011675357819;0.23999999463558;;;;;;;;;;;;;;;;
33;cg.C;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);10;cg.cpp:631-632,cg.cpp:640-640;Innermost;0.42298722267151;0.14499999582767;;;;;;0.42298722267151;0.14499999582767;;;;;;;;;;;;;;;;
32;cg.C;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);10;cg.cpp:657-657;Innermost;0.18961495161057;0.064999997615814;;;;;;0.18961495161057;0.064999997615814;;;;;;;;;;;;;;;;
30;cg.C;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);10;cg.cpp:671-677;InBetween;3.3255548477173;1.1399999856949;;;;;;0.17502918839455;0.059999998658895;;;;;;;;;;;;;;;;
34;cg.C;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);10;cg.cpp:612-612;Innermost;0.13127188384533;0.044999994337559;;;;;;0.13127188384533;0.044999994337559;;;;;;;;;;;;;;;;
39;cg.C;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);10;cg.cpp:547-550;Single;0.014585766009986;0.0049999998882413;;;;;;0.014585766009986;0.0049999998882413;;;;;;;;;;;;;;;;
51;cg.C;main._omp_fn.0;12;cg.cpp:280-281;Innermost;0.014585766009986;0.0049999998882413;;;;;;0.014585766009986;0.0049999998882413;;;;;;;;;;;;;;;;
50;cg.C;main._omp_fn.0;12;cg.cpp:280-280;Outermost;0.029171532019973;0.0099999997764826;;;;;;0.014585766009986;0.0049999998882413;;;;;;;;;;;;;;;;
