ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 38;cg.C;cg.cpp:579-580;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;118.05999755859;118.06000518799;87.40013885498;1.00;1.00;1.50;3.00;1;38.46;46.15;9.00;9.00;9.00;6.00;3.00
Loop 23;cg.C;cg.cpp:893-896;main;Innermost;5.0599999427795;5.0599999427795;3.7459316253662;1.50;1.29;7.58;1.50;2;0.00;15.00;1.50;1.00;1.17;0.20;1.00
Loop 33;cg.C;cg.cpp:652-653;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;4.6550006866455;4.6550006866455;3.4461095333099;1.00;1.00;1.50;3.00;1;38.46;46.15;9.00;9.00;9.00;6.00;3.00
Loop 37;cg.C;cg.cpp:578-582;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);InBetween;3.309999704361;3.3099994659424;2.4504015445709;1.50;2.13;5.61;4.13;16;35.29;30.88;16.50;11.00;7.75;2.94;4.00
Loop 22;cg.C;cg.cpp:886-887,cg.cpp:903-907;main;Innermost;2.4400000572205;2.4399998188019;1.8063385486603;1.00;1.00;7.20;1.13;1;0.00;15.63;2.25;2.25;2.25;0.31;2.00
Loop 20;cg.C;cg.cpp:871-873,cg.cpp:881-882,cg.cpp:886-886,cg.cpp:893-893,cg.cpp:899-900,cg.cpp:904-904,cg.cpp:913-913,cg.cpp:922-922;main;InBetween;0.69499999284744;0.69500005245209;0.5145103931427;3.40;1.88;11.41;3.40;18;0.00;15.63;8.50;2.50;4.52;0.75;2.50
Loop 35;cg.C;cg.cpp:612-613,cg.cpp:621-621;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;0.23500001430511;0.23499998450279;0.17397113144398;1.00;1.00;1.00;1.00;1;100.00;100.00;5.00;5.00;5.00;5.00;5.00
Loop 32;cg.C;cg.cpp:651-655;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Outermost;0.18500000238419;0.18500000238419;0.13695600628853;1.48;2.11;5.63;4.08;16;36.36;31.06;16.33;11.00;7.75;2.90;4.00
Loop 36;cg.C;cg.cpp:593-593;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;0.090000003576279;0.089999996125698;0.066627241671085;1.00;1.00;1.00;1.00;1;100.00;100.00;3.00;3.00;3.00;3.00;3.00
Loop 11;cg.C;cg.cpp:678-678,cg.cpp:742-749,cg.cpp:972-975,cg.cpp:982-984,cg.cpp:992-993,cg.cpp:999-1001,cg.cpp:1015-1025;main;Innermost;0.045000001788139;0.044999998062849;0.033313620835543;2.14;1.75;2.35;4.04;1;9.48;24.19;107.00;50.00;61.13;45.61;26.50
Loop 8;cg.C;cg.cpp:945-947;main;Innermost;0.045000001788139;0.044999998062849;0.033313620835543;1.00;1.00;1.00;3.00;1;100.00;100.00;3.00;3.00;3.00;3.00;1.00
Loop 34;cg.C;cg.cpp:638-638;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;0.040000002831221;0.03999999910593;0.029612109065056;1.00;1.00;1.00;1.00;1;100.00;100.00;1.00;1.00;1.00;1.00;1.00
Loop 18;cg.C;cg.cpp:852-854;main;Innermost;0.035000000149012;0.035000000149012;0.025910595431924;1.00;1.71;13.71;2.00;1;0.00;12.50;2.00;2.00;1.17;0.15;1.00
Loop 21;cg.C;cg.cpp:867-871,cg.cpp:881-881,cg.cpp:886-886,cg.cpp:913-913;main;InBetween;0.025000000372529;0.025000000372529;0.01850756816566;3.33;2.35;8.28;5.00;3;0.00;20.83;5.00;1.50;2.13;0.60;1.00
Loop 53;cg.C;cg.cpp:278-279;main._omp_fn.0;Innermost;0.02000000141561;0.019999999552965;0.014806054532528;1.00;1.00;8.00;1.00;1;0.00;12.50;1.00;1.00;1.00;0.13;1.00
Loop 31;cg.C;cg.cpp:665-666;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Single;0.014999999664724;0.015000000596046;0.011104540899396;1.00;1.00;1.00;1.00;1;100.00;100.00;3.00;3.00;3.00;3.00;3.00
