ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 38;cg.C;cg.cpp:579-580;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;28.379999160767;34.45520401001;85.221908569336;1.00;1.00;1.50;3.00;1;38.46;46.15;9.00;9.00;9.00;6.00;3.00
Loop 33;cg.C;cg.cpp:652-653;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;1.1599998474121;1.386461853981;3.4292912483215;1.00;1.00;1.50;3.00;1;38.46;46.15;9.00;9.00;9.00;6.00;3.00
Loop 23;cg.C;cg.cpp:893-896;main;Innermost;5.1849999427795;1.0540769100189;2.6071665287018;1.50;1.29;7.58;1.50;2;0.00;15.00;1.50;1.00;1.17;0.20;1.00
Loop 37;cg.C;cg.cpp:578-582;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);InBetween;0.71999996900558;0.82740467786789;2.0465126037598;1.50;2.13;5.61;4.13;16;35.29;30.88;16.50;11.00;7.75;2.94;4.00
Loop 22;cg.C;cg.cpp:886-887,cg.cpp:903-907;main;Innermost;2.3949997425079;0.48688796162605;1.2042745351791;1.00;1.00;7.20;1.13;1;0.00;15.63;2.25;2.25;2.25;0.31;2.00
Loop 35;cg.C;cg.cpp:612-613,cg.cpp:621-621;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;0.17499999701977;0.18804651498795;0.46511650085449;1.00;1.00;1.00;1.00;1;100.00;100.00;5.00;5.00;5.00;5.00;5.00
Loop 20;cg.C;cg.cpp:871-873,cg.cpp:881-882,cg.cpp:886-886,cg.cpp:893-893,cg.cpp:899-900,cg.cpp:904-904,cg.cpp:913-913,cg.cpp:922-922;main;InBetween;0.62999999523163;0.128074914217;0.31678202748299;3.40;1.88;11.41;3.40;18;0.00;15.63;8.50;2.50;4.52;0.75;2.50
Loop 34;cg.C;cg.cpp:638-638;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;0.10000000149012;0.10876203328371;0.26901331543922;1.00;1.00;1.00;1.00;1;100.00;100.00;1.00;1.00;1.00;1.00;1.00
Loop 32;cg.C;cg.cpp:651-655;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Outermost;0.054999999701977;0.037609301507473;0.093023300170898;1.48;2.11;5.63;4.08;16;36.36;31.06;16.33;11.00;7.75;2.90;4.00
Loop 36;cg.C;cg.cpp:593-593;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;0.049999997019768;0.034559898078442;0.085480868816376;1.00;1.00;1.00;1.00;1;100.00;100.00;3.00;3.00;3.00;3.00;3.00
Loop 53;cg.C;cg.cpp:278-279;main._omp_fn.0;Innermost;0.010000000707805;0.012197610922158;0.03016971796751;1.00;1.00;8.00;1.00;1;0.00;12.50;1.00;1.00;1.00;0.13;1.00
Loop 41;cg.C;cg.cpp:531-534;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Single;0.014999999664724;0.011181144975126;0.027655577287078;1.00;1.00;1.00;4.00;1;100.00;100.00;4.00;4.00;4.00;4.00;1.00
Loop 8;cg.C;cg.cpp:945-947;main;Innermost;0.03999999910593;0.0081317415460944;0.020113145932555;1.00;1.00;1.00;3.00;1;100.00;100.00;3.00;3.00;3.00;3.00;1.00
Loop 21;cg.C;cg.cpp:867-871,cg.cpp:881-881,cg.cpp:886-886,cg.cpp:913-913;main;InBetween;0.024999998509884;0.0050823385827243;0.012570716440678;3.33;2.35;8.28;5.00;3;0.00;20.83;5.00;1.50;2.13;0.60;1.00
Loop 18;cg.C;cg.cpp:852-854;main;Innermost;0.024999998509884;0.0050823385827243;0.012570716440678;1.00;1.71;13.71;2.00;1;0.00;12.50;2.00;2.00;1.17;0.15;1.00
Loop 11;cg.C;cg.cpp:678-678,cg.cpp:742-749,cg.cpp:972-975,cg.cpp:982-984,cg.cpp:992-993,cg.cpp:999-1001,cg.cpp:1015-1025;main;Innermost;0.019999999552965;0.0040658707730472;0.010056572966278;2.14;1.75;2.35;4.04;1;9.48;24.19;107.00;50.00;61.13;45.61;26.50
