ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 38;cg.C;cg.cpp:579-580;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;28.189998626709;34.155811309814;84.439590454102;1.00;1.00;1.50;3.00;1;38.46;46.15;9.00;9.00;9.00;6.00;3.00
Loop 33;cg.C;cg.cpp:652-653;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;1.1449999809265;1.3727470636368;3.39368891716;1.00;1.00;1.50;3.00;1;38.46;46.15;9.00;9.00;9.00;6.00;3.00
Loop 23;cg.C;cg.cpp:893-896;main;Innermost;4.9899997711182;1.0095812082291;2.4958746433258;1.50;1.29;7.58;1.50;2;0.00;15.00;1.50;1.00;1.17;0.20;1.00
Loop 37;cg.C;cg.cpp:578-582;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);InBetween;0.75999999046326;0.85177081823349;2.1057376861572;1.50;2.13;5.61;4.13;16;35.29;30.88;16.50;11.00;7.75;2.94;4.00
Loop 22;cg.C;cg.cpp:886-887,cg.cpp:903-907;main;Innermost;2.5799999237061;0.52198785543442;1.2904521226883;1.00;1.00;7.20;1.13;1;0.00;15.63;2.25;2.25;2.25;0.31;2.00
Loop 35;cg.C;cg.cpp:612-613,cg.cpp:621-621;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;0.15999999642372;0.17601916193962;0.43515247106552;1.00;1.00;1.00;1.00;1;100.00;100.00;5.00;5.00;5.00;5.00;5.00
Loop 20;cg.C;cg.cpp:871-873,cg.cpp:881-882,cg.cpp:886-886,cg.cpp:893-893,cg.cpp:899-900,cg.cpp:904-904,cg.cpp:913-913,cg.cpp:922-922;main;InBetween;0.64999997615814;0.13150857388973;0.32511392235756;3.40;1.88;11.41;3.40;18;0.00;15.63;8.50;2.50;4.52;0.75;2.50
Loop 34;cg.C;cg.cpp:638-638;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;0.125;0.12038091570139;0.29760426282883;1.00;1.00;1.00;1.00;1;100.00;100.00;1.00;1.00;1.00;1.00;1.00
Loop 32;cg.C;cg.cpp:651-655;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Outermost;0.049999997019768;0.033382944762707;0.082528918981552;1.48;2.11;5.63;4.08;16;36.36;31.06;16.33;11.00;7.75;2.90;4.00
Loop 36;cg.C;cg.cpp:593-593;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Innermost;0.03999999910593;0.023266900330782;0.057520154863596;1.00;1.00;1.00;1.00;1;100.00;100.00;3.00;3.00;3.00;3.00;3.00
Loop 41;cg.C;cg.cpp:531-534;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Single;0.025000000372529;0.01315085683018;0.03251139074564;1.00;1.00;1.00;4.00;1;100.00;100.00;4.00;4.00;4.00;4.00;1.00
Loop 53;cg.C;cg.cpp:278-279;main._omp_fn.0;Innermost;0.0099999997764826;0.010116043500602;0.025008762255311;1.00;1.00;8.00;1.00;1;0.00;12.50;1.00;1.00;1.00;0.13;1.00
Loop 8;cg.C;cg.cpp:945-947;main;Innermost;0.049999997019768;0.010116043500602;0.025008762255311;1.00;1.00;1.00;3.00;1;100.00;100.00;3.00;3.00;3.00;3.00;1.00
Loop 21;cg.C;cg.cpp:867-871,cg.cpp:881-881,cg.cpp:886-886,cg.cpp:913-913;main;InBetween;0.029999999329448;0.0060696266591549;0.01500525791198;3.33;2.35;8.28;5.00;3;0.00;20.83;5.00;1.50;2.13;0.60;1.00
Loop 11;cg.C;cg.cpp:678-678,cg.cpp:742-749,cg.cpp:972-975,cg.cpp:982-984,cg.cpp:992-993,cg.cpp:999-1001,cg.cpp:1015-1025;main;Innermost;0.024999998509884;0.0050580217503011;0.012504381127656;2.14;1.75;2.35;4.04;1;9.48;24.19;107.00;50.00;61.13;45.61;26.50
Loop 18;cg.C;cg.cpp:852-854;main;Innermost;0.0099999997764826;0.002023208886385;0.0050017526373267;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 31;cg.C;cg.cpp:665-666;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Single;0.0099999997764826;0.002023208886385;0.0050017526373267;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 19;cg.C;cg.cpp:823-825;main;Innermost;0.0049999998882413;0.0010116044431925;0.0025008763186634;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 52;cg.C;cg.cpp:278-278;main._omp_fn.0;Outermost;0.0049999998882413;0.0010116044431925;0.0025008763186634;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 29;cg.C;cg.cpp:549-549,cg.cpp:564-566,cg.cpp:572-573,cg.cpp:577-577,cg.cpp:582-582,cg.cpp:591-593,cg.cpp:601-601,cg.cpp:610-613,cg.cpp:621-621,cg.cpp:629-629,cg.cpp:637-638,cg.cpp:650-650;conj_grad(int*, int*, double*, double*, double*, double*, double*, double*, double*);Outermost;0.0049999998882413;0.0010116044431925;0.0025008763186634;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
