ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 44;cg.B;;conj_grad(int const*, int const*, double const*, double*, double const*, double*, double*, double*, double*);Innermost;53.870002746582;53.869998931885;86.761154174805;1.00;1.00;1.50;2.25;1;38.46;46.15;9.00;9.00;9.00;6.00;4.00
Loop 39;cg.B;;conj_grad(int const*, int const*, double const*, double*, double const*, double*, double*, double*, double*);Innermost;2.2000000476837;2.2000000476837;3.5432436466217;1.00;1.00;1.50;2.25;1;38.46;46.15;9.00;9.00;9.00;6.00;4.00
Loop 43;cg.B;;conj_grad(int const*, int const*, double const*, double*, double const*, double*, double*, double*, double*);InBetween;2.1399998664856;2.1400001049042;3.4466097354889;1.78;2.11;5.61;3.69;16;33.33;29.86;24.00;13.50;11.36;4.28;6.50
Loop 35;cg.B;;main;Innermost;2.1000001430511;2.0999999046326;3.382187128067;1.44;1.00;6.12;1.63;2;0.00;15.00;1.63;1.13;1.63;0.27;1.00
Loop 34;cg.B;;main;Innermost;0.90000003576279;0.89999997615814;1.4495087862015;1.00;1.00;7.33;1.25;1;0.00;15.63;2.50;2.50;2.50;0.34;2.00
Loop 32;cg.B;;main;InBetween;0.29999998211861;0.30000001192093;0.48316958546638;2.50;2.19;7.07;2.86;18;0.00;16.67;10.00;4.00;4.57;1.41;3.50
Loop 41;cg.B;;conj_grad(int const*, int const*, double const*, double*, double const*, double*, double*, double*, double*);Innermost;0.1799999922514;0.18000000715256;0.28990176320076;1.00;1.00;1.00;1.00;1;100.00;100.00;4.00;4.00;4.00;4.00;4.00
Loop 38;cg.B;;conj_grad(int const*, int const*, double const*, double*, double const*, double*, double*, double*, double*);Outermost;0.089999996125698;0.090000003576279;0.14495088160038;1.78;2.19;5.61;3.69;16;35.29;30.88;24.00;13.50;10.96;4.28;6.50
Loop 40;cg.B;;conj_grad(int const*, int const*, double const*, double*, double const*, double*, double*, double*, double*);Innermost;0.070000000298023;0.070000000298023;0.11273957043886;1.00;1.00;1.00;1.50;1;100.00;100.00;1.50;1.50;1.50;1.50;1.00
Loop 42;cg.B;;conj_grad(int const*, int const*, double const*, double*, double const*, double*, double*, double*, double*);Innermost;0.064999997615814;0.064999997615814;0.10468674451113;1.00;1.00;1.00;1.00;1;100.00;100.00;8.00;8.00;8.00;8.00;8.00
Loop 30;cg.B;;main;Innermost;0.054999999701977;0.054999999701977;0.088581092655659;1.00;1.00;8.00;2.00;1;0.00;12.50;2.00;2.00;2.00;0.25;1.00
Loop 23;cg.B;;main;Innermost;0.025000000372529;0.025000000372529;0.040264133363962;2.45;1.04;1.80;3.75;1;8.51;22.94;90.00;36.75;86.25;49.94;24.00
Loop 21;cg.B;;main;Innermost;0.015000000596046;0.015000000596046;0.024158479645848;1.00;1.00;1.00;3.00;1;100.00;100.00;3.00;3.00;3.00;3.00;1.00
Loop 33;cg.B;;main;InBetween;0.0099999997764826;0.010000000707805;0.016105653718114;3.33;1.00;4.44;5.00;3;0.00;20.83;5.00;1.50;5.00;1.13;1.00
Loop 16;cg.B;;main;Innermost;0.0099999997764826;0.010000000707805;0.016105653718114;1.00;1.00;8.00;1.00;1;0.00;12.50;1.00;1.00;1.00;0.13;1.00
