group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
6;SSSSSS;MOV,MOV,MOV,MOV,MOV,MOV,;0,4,8,12,16,20,;0x1827,0x182f,0x1839,0x1843,0x184f,0x1858,;Not found;0;Success;24;24;0;24;0;6;
121;LLSSLSSLSSLSSLSSLLSSLSSLSSLSSLSSLSSLLSSLLLSLLLSLLLSLLLSLLSSLLSLLSSLLSSLLSSLLLSLSSSSSLSLSLLLLLLLLLLLLLLLLLLLLLLLLLLLLLSSSL;VMULSD,CMP,MOV,MOV,CMP,MOV,MOV,CMP,MOV,MOV,CMP,MOV,MOV,CMP,MOV,MOV,CMP,CMP,MOV,MOV,CMP,MOV,MOV,CMP,MOV,MOV,CMP,MOV,MOV,CMP,MOV,MOV,CMP,MOV,MOV,CMP,MOV,MOV,MOV,VMOVSD,VMOVSD,MOV,VMOVSD,VMOVSD,VMOVSD,MOV,VMOVSD,VMOVSD,VMOVSD,MOV,VMOVSD,VMOVSD,VMOVSD,MOV,VMOVSD,VMOVSD,MOV,VMOVSD,MOV,VMOVSD,MOV,VMOVSD,VMOVSD,MOV,VMOVSD,MOV,VMOVSD,MOV,VMOVSD,MOV,VMOVSD,MOV,VMOVSD,MOV,VMOVSD,MOV,MOV,VMOVSD,MOV,VMOVSD,VMOVSD,MOV,MOV,MOV,MOV,VMOVSD,MOV,MOV,MOV,MOV,MOV,CMP,MOV,MOV,MOV,MOV,MOV,VMOVSD,VMOVSD,VMOVSD,CMP,MOV,VMOVAPD,VPADDD,MOV,MOV,CMP,MOV,VMOVAPD,VPADDD,VMOVAPD,VMOVSD,VMOVAPD,MOV,VMOVSD,MOV,VMOVSD,ADD,ADD,ADD,CMP,;-304,-320,-176,-240,-240,-168,-236,-236,-160,-232,-232,-152,-228,-228,-144,-224,-224,-220,-128,-216,-216,-120,-212,-212,-112,-208,-208,-104,-204,-204,-96,-200,-200,-88,-196,-196,-240,-80,-192,-416,-176,-236,-176,-416,-168,-232,-168,-416,-160,-228,-160,-416,-152,-224,-152,-144,-220,-144,-436,-136,-216,-136,-128,-212,-128,-440,-120,-208,-120,-444,-112,-204,-112,-448,-104,-200,-196,-104,-192,-96,-88,-188,-392,-72,-408,-80,-408,-392,-328,-312,-400,-368,-436,-368,-440,-444,-448,-96,-88,-80,-392,-368,-176,-240,-328,-312,-392,-400,-144,-208,-112,-80,-96,-188,-72,-188,-72,-368,-408,-328,-320,;0x1505,0x1513,0x1ddb,0x1de3,0x1524,0x1def,0x1dfc,0x1536,0x1e1f,0x1e2c,0x1548,0x1e07,0x1e14,0x155a,0x1e6e,0x1e7b,0x1570,0x1586,0x1e9b,0x1ea5,0x159c,0x1e86,0x1e90,0x15b2,0x2197,0x21a1,0x15c8,0x21ac,0x21b6,0x15de,0x21d6,0x21e0,0x15f4,0x21c1,0x21cb,0x160a,0x1616,0x1620,0x1624,0x1dc3,0x1633,0x163d,0x1644,0x1db1,0x1655,0x165d,0x1664,0x1d9f,0x1675,0x167d,0x1683,0x1d8d,0x1694,0x169c,0x16a2,0x16b3,0x16bb,0x16c1,0x16c9,0x16d8,0x16e0,0x16e6,0x16f7,0x16fc,0x1702,0x1707,0x1716,0x171b,0x1721,0x1726,0x1735,0x173a,0x1740,0x1745,0x1754,0x1759,0x1760,0x1767,0x176c,0x1d10,0x1cd1,0x17ac,0x17b3,0x17bd,0x17c1,0x1cdb,0x1ce0,0x1ce7,0x17d3,0x17dd,0x17f1,0x17fc,0x1809,0x180f,0x1867,0x1878,0x1889,0x18a4,0x18b6,0x18c7,0x18cc,0x1c27,0x1c2e,0x1c38,0x1c40,0x1c47,0x1c4e,0x1c61,0x1c6d,0x1c75,0x1c87,0x1c91,0x1c9a,0x18db,0x18e1,0x1cb3,0x1cb9,0x18f1,0x18fd,0x1905,0x190d,;Success;0;Success;848;248;600;384;0;1;
12;LLLLLLLLLLLL;VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,MOV,;23384,23360,15021,15039,15057,15075,15093,15111,15136,16557,16540,16516,;0x14e0,0x14f8,0x1d7b,0x1d69,0x1d57,0x1d45,0x1d33,0x1d21,0x1d08,0x177b,0x178c,0x17a5,;RIP based value;0;Success;96;96;0;8371;0;1;
2;SS;VMOVUPD,VMOVUPD,;0,16,;0x1c96,0x1c9f,;Not found;0;Success;32;32;0;32;0;2;
1;S;MOV,;0,;0x17c8,;Not found;0;Success;4;4;0;4;0;1;
18;SSSSSSSSSSSSSSSSSS;VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVUPD,VMOVUPD,VMOVSD,VMOVSD,VMOVSD,;0,8,16,24,32,40,48,56,64,72,80,88,96,0,32,96,104,104,;0x182a,0x1833,0x183d,0x1849,0x1852,0x185e,0x186d,0x187e,0x188f,0x189e,0x18b0,0x18be,0x18d3,0x1c68,0x1c81,0x1ca7,0x18eb,0x1cc3,;Success;112;Success;192;112;80;112;112;1;
1;S;MOV,;0,;0x1cf1,;Not found;0;Success;4;4;0;4;0;1;
1;S;VMOVDQU,;0,;0x1c8c,;Not found;0;Success;16;16;0;16;0;1;
8;SSSSSSSS;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;24,28,32,36,40,44,48,52,;0x1864,0x1875,0x1886,0x1897,0x18a9,0x18bb,0x18c4,0x18e8,;Not found;0;Success;32;32;0;32;0;8;
3;SSS;VMOVDQU,MOV,MOV,;0,48,52,;0x1c55,0x1ca4,0x1cc0,;Not found;0;Success;40;40;0;56;0;1;
