address;source_location;insn;indent
0x7880;:0;MOV	%RSI,%RAX;
0x7883;:0;SUB	%RDI,%RAX;
0x7886;:0;CMP	$0x100,%RAX;
0x788c;:0;JLE	7aa3 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_+0x223>;
0x7892;:0;PUSH	%R13;
0x7894;:0;MOV	%RSI,%R9;
0x7897;:0;MOV	%RDX,%R13;
0x789a;:0;PUSH	%R12;
0x789c;:0;PUSH	%RBP;
0x789d;:0;MOV	%RDI,%RBP;
0x78a0;:0;PUSH	%RBX;
0x78a1;:0;LEA	0x10(%RDI),%RBX;
0x78a5;:0;SUB	$0x8,%RSP;
0x78a9;:0;TEST	%RDX,%RDX;
0x78ac;:0;JE	7a11 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_+0x191>;
0x78b2;:0;SAR	$0x5,%RAX;(164) 
0x78b6;:0;MOV	0x10(%RBP),%EDX;(164) 
0x78b9;:0;MOV	-0x10(%R9),%EDI;(164) 
0x78bd;:0;SUB	$0x1,%R13;(164) 
0x78c1;:0;SAL	$0x4,%RAX;(164) 
0x78c5;:0;MOV	(%RBP),%ECX;(164) 
0x78c8;:0;VMOVSD	0x8(%RBP),%XMM0;(164) 
0x78cd;:0;ADD	%RBP,%RAX;(164) 
0x78d0;:0;MOV	(%RAX),%ESI;(164) 
0x78d2;:0;CMP	%ESI,%EDX;(164) 
0x78d4;:0;JGE	79bd <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_+0x13d>;(164) 
0x78da;:0;CMP	%EDI,%ESI;(164) 
0x78dc;:0;JL	79ee <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_+0x16e>;(164) 
0x78e2;:0;CMP	%EDI,%EDX;(164) 
