loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;flops_sca;flops_vec;flops_sp;flops_dp;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;
37;cg.B;main;4;;Innermost;85.937576293945;55.520000457764;;;;;;85.937576293945;55.520000457764;;;;;;;;;;;;;;;;
32;cg.B;main;4;;Innermost;3.3666095733643;2.1749992370605;;;;;;3.3666095733643;2.1749992370605;;;;;;;;;;;;;;;;
128;cg.B;main;4;;Innermost;2.3063218593597;1.4900000095367;;;;;;2.3063218593597;1.4900000095367;;;;;;;;;;;;;;;;
127;cg.B;main;4;;Innermost;1.3311656713486;0.86000007390976;;;;;;1.3311656713486;0.86000007390976;;;;;;;;;;;;;;;;
36;cg.B;main;4;;InBetween;87.16813659668;56.315006256104;;;;;;1.2305543422699;0.79500007629395;;;;;;;;;;;;;;;;
131;cg.B;sell_spmv_new_order(SellCSigma const&, double const*, double*);11;;Innermost;1.0680283308029;0.69000005722046;;;;;;1.0680283308029;0.69000005722046;;;;;;;;;;;;;;;;
125;cg.B;main;4;;InBetween;4.0631508827209;2.625;;;;;;0.42566341161728;0.27499997615814;;;;;;;;;;;;;;;;
35;cg.B;main;4;;Innermost;0.36374872922897;0.23499998450279;;;;;;0.36374872922897;0.23499998450279;;;;;;;;;;;;;;;;
34;cg.B;main;4;;Innermost;0.31731274724007;0.20500001311302;;;;;;0.31731274724007;0.20500001311302;;;;;;;;;;;;;;;;
158;cg.B;void std::__introsort_loop<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_less_iter) [clone .isra.0];19;;InBetween;0.75845485925674;0.49000000953674;;;;;;0.30957341194153;0.20000001788139;;;;;;;;;;;;;;;;
157;cg.B;void std::__introsort_loop<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_less_iter) [clone .isra.0];19;;Innermost;0.24765872955322;0.15999999642372;;;;;;0.24765872955322;0.15999999642372;;;;;;;;;;;;;;;;
106;cg.B;main;4;;Innermost;0.22444070875645;0.14499999582767;;;;;;0.22444070875645;0.14499999582767;;;;;;;;;;;;;;;;
160;cg.B;void std::__introsort_loop<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_less_iter) [clone .isra.0];19;;Innermost;0.20122270286083;0.12999999523163;;;;;;0.20122270286083;0.12999999523163;;;;;;;;;;;;;;;;
156;cg.B;void std::__introsort_loop<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_less_iter) [clone .isra.0];19;;Outermost;0.92098087072372;0.59500002861023;;;;;;0.14704737067223;0.095000006258488;;;;;;;;;;;;;;;;
101;cg.B;main;4;;InBetween;0.14704737067223;0.095000006258488;;;;;;0.12382936477661;0.079999998211861;;;;;;;;;;;;;;;;
62;cg.B;main;4;;InBetween;0.18574404716492;0.12000000476837;;;;;;0.11609002947807;0.075000002980232;;;;;;;;;;;;;;;;
90;cg.B;main;4;;InBetween;0.14704737067223;0.095000006258488;;;;;;0.10835069417953;0.070000007748604;;;;;;;;;;;;;;;;
33;cg.B;main;4;;Innermost;0.10835069417953;0.070000007748604;;;;;;0.10835069417953;0.070000007748604;;;;;;;;;;;;;;;;
