address;source_location;insn;indent
0x78b2;:0;SAR	$0x5,%RAX;
0x78b6;:0;MOV	0x10(%RBP),%EDX;
0x78b9;:0;MOV	-0x10(%R9),%EDI;
0x78bd;:0;SUB	$0x1,%R13;
0x78c1;:0;SAL	$0x4,%RAX;
0x78c5;:0;MOV	(%RBP),%ECX;
0x78c8;:0;VMOVSD	0x8(%RBP),%XMM0;
0x78cd;:0;ADD	%RBP,%RAX;
0x78d0;:0;MOV	(%RAX),%ESI;
0x78d2;:0;CMP	%ESI,%EDX;
0x78d4;:0;JGE	79bd <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_+0x13d>;
0x78da;:0;CMP	%EDI,%ESI;
0x78dc;:0;JL	79ee <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_+0x16e>;
0x78e2;:0;CMP	%EDI,%EDX;
0x78e4;:0;JL	79c9 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_+0x149>;
0x78ea;:0;VMOVSD	0x18(%RBP),%XMM1;
0x78ef;:0;MOV	%EDX,(%RBP);
0x78f2;:0;MOV	%ECX,0x10(%RBP);
0x78f5;:0;MOV	-0x10(%R9),%ESI;
0x78f9;:0;VMOVSD	%XMM1,0x8(%RBP);
0x78fe;:0;VMOVSD	%XMM0,0x18(%RBP);
0x7903;:0;MOV	%R9,%RDI;
0x7906;:0;MOV	%RBX,%RAX;
0x7909;:0;CMP	%EDX,%ECX;
0x790b;:0;JGE	7974 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_+0xf4>;
0x790d;:0;NOPL	(%RAX);
0x7910;:0;ADD	$0x10,%RAX;  (166) 
0x7914;:0;NOPL	(%RAX);  (166) 
0x7918;:0;MOV	%RAX,%R8;    (165) 
0x791b;:0;MOV	(%RAX),%ECX;    (165) 
0x791d;:0;ADD	$0x10,%RAX;    (165) 
0x7921;:0;CMP	%ECX,%EDX;    (165) 
0x7923;:0;JG	7918 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_+0x98>;    (165) 
0x7925;:0;MOV	%R8,%R12;  (166) 
0x7928;:0;CMP	%ESI,%EDX;  (166) 
0x792a;:0;JGE	7980 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_+0x100>;  (166) 
0x792c;:0;LEA	-0x20(%RDI),%RAX;  (167) 
0x7930;:0;MOV	%RAX,%RDI;  (163) 
0x7933;:0;MOV	(%RAX),%ESI;  (163) 
0x7935;:0;SUB	$0x10,%RAX;  (163) 
0x7939;:0;CMP	%ESI,%EDX;  (163) 
0x793b;:0;JL	7930 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_+0xb0>;  (163) 
0x793d;:0;CMP	%RDI,%R12;
0x7940;:0;JAE	7990 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIidESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_comp_iterIZL20csr_sort_rows_by_coliPKiPiPdEUlRKT_RKT0_E_EEEvSF_SF_SI_T1_+0x110>;
0x7942;:0;MOV	%ESI,(%R12);  (166) 
0x7946;:0;VMOVSD	0x8(%RDI),%XMM1;  (166) 
0x794b;:0;LEA	0x10(%R12),%RAX;  (166) 
0x7950;:0;VMOVSD	0x8(%R12),%XMM0;  (166) 
0x7957;:0;MOV	-0x10(%RDI),%ESI;  (166) 
0x795a;:0;MOV	%ECX,(%RDI);  (166) 
0x795c;:0;MOV	(%RBP),%EDX;  (166) 
0x795f;:0;MOV	0x10(%R12),%ECX;  (166) 
